well,fault_true,fault_prahari,fault_fixedcal,fault_ml,M_true,M_hat,M_err_pct,tau_err_deg,fillage_true,fillage_hat,fillage_hat_fixedcal,Fo_true,Fo_hat,Fo_err_pct,residual_norm,margin,depth,spm,d_rod
13,worn_pump,worn_pump,worn_pump,tv_leak,29190.667427109653,28148.74983592144,-3.569351724450717,-0.4343082178067611,0.842576763097215,0.8635914028537667,0.7812278200076935,7035.92410230557,8858.07919476588,25.89787874293891,0.0259401304962839,1.148645355857923,998.0211681918388,5.52280378437612,0.01905
14,rod_part,rod_part,rod_part,rod_part,9145.32211385764,8809.143473166032,-3.675962820185475,0.1413492462186532,1.0,1.0,1.0,26147.813782219066,31113.770852680587,18.991863380327622,0.0404206302963279,1.1074788897556302,779.6897659991993,5.336965192138599,0.0222
15,tagging,tagging,sv_leak,tagging,56120.65200368319,44118.15752262626,-21.386947678849506,-0.3213265950155051,1.0,1.0,1.0,12161.167064987563,26300.946322256805,116.26992032679308,0.1771748461277429,0.2511100878850306,1469.3027173520386,8.895039196845271,0.0222
16,normal,tv_leak,gas_interference,sv_leak,22656.288987022708,31454.85612098972,38.83498810862952,2.370353379637039,0.9515101538849836,1.0,0.7958098119569658,12306.995438851289,7510.45899771836,-38.97406531890799,0.1775294524815145,0.0264656381225791,744.6923809909542,8.933875611299253,0.01905
17,fluid_pound,fluid_pound,sv_leak,fluid_pound,60641.98210746494,60716.11929025857,0.1222538911446707,-0.1299024654502205,0.5134424223932155,0.5396472142265134,1.0,14618.39248440424,8357.827140822243,-42.82663329953097,0.0593316231922747,1.937109133022897,1393.843849954797,4.9906126667801125,0.0254
18,gas_interference,gas_interference,gas_interference,gas_interference,43505.3319588434,48210.338058633264,10.81478036816466,-0.0838266496963666,0.5745698374003171,0.6053830666096869,0.7756951498629037,12497.195017185668,9809.78369482715,-21.5041160729499,0.0747047030189847,0.9665544670914472,1210.611404285154,8.300607257482742,0.0222
19,tv_leak,tagging,sv_leak,normal,54023.08082991398,51581.01056638584,-4.520420209311542,-0.4078606888307025,1.0,1.0,1.0,24598.765568227074,22836.26270145727,-7.165005340944159,0.1117512633736013,0.1174759279037618,1535.99643925466,5.442592350723399,0.0222
20,sv_leak,sv_leak,gas_interference,sv_leak,64578.5370696906,56615.172996505535,-12.331285957424711,-1.905121082019639,1.0,1.0,0.713424434388961,15895.944797603546,19244.62881943154,21.06627862933216,0.0287359043558064,2.009331740846796,1168.5745138038565,6.869682000572968,0.0254
21,worn_pump,worn_pump,worn_pump,worn_pump,31663.360371065915,29693.06792672908,-6.222625840235503,-0.4826401505899789,0.8592018376316793,0.8470265308909978,0.820087841929567,12035.15097544288,8400.841103471188,-30.197459752580745,0.0878206778342194,0.3578657852928949,857.7053387654577,8.439613830872085,0.0254
22,rod_part,rod_part,worn_pump,rod_part,21390.94376849756,20441.00859791735,-4.440828702374382,0.0193891824479902,1.0,1.0,0.7595153561073864,19429.395170993048,9402.625870105425,-51.6061833765006,0.0344081339019544,0.0279899962679545,1175.8721012604656,4.035195437000358,0.0222
23,tagging,tagging,tagging,tagging,41056.21905482795,42483.55742892127,3.476546079869658,-0.4325440574177719,1.0,1.0,1.0,23896.57063427998,23150.014879171948,-3.124112520300657,0.1270155889510915,0.2543647669814244,782.1542811854472,5.603798235700702,0.0222
24,normal,normal,sv_leak,normal,33038.046170969785,30790.046076431936,-6.80427675082416,-0.7196441070684096,0.9868902275167648,1.0,1.0,9762.907556812635,11985.917581864847,22.76995876603354,0.1163798812794997,0.1039608733565557,1665.2640348445452,6.351569088452109,0.01905
25,fluid_pound,gas_interference,gas_interference,fluid_pound,67553.70759992363,58101.44569542229,-13.992217807615978,-0.5604314589826811,0.3472654518645121,0.5158349974710608,0.5338168179953867,26582.756352489992,26179.51592748107,-1.5169248051703736,0.1619402752673597,0.0283303027117191,1660.6022287186902,5.436170659836733,0.0222
26,gas_interference,gas_interference,gas_interference,gas_interference,30646.71202881089,43308.280430612256,41.314606245192834,0.2602543731264629,0.659313829192596,0.5809992983606234,0.601532884280516,27930.3993499032,27539.186235541205,-1.4006713955679664,0.0567130353345049,1.914795529142664,774.3002597486209,4.137963298004973,0.01905
27,tv_leak,tv_leak,tv_leak,tv_leak,36468.15041060274,35641.277414208686,-2.2673839695298943,0.4832246285542902,1.0,1.0,1.0,11923.86081898466,16731.176586185145,40.31677189276215,0.1908188971049565,0.5569309053182127,1502.8309489310625,8.118159456611323,0.01905
28,sv_leak,worn_pump,sv_leak,sv_leak,50380.82742761585,77595.06776971655,54.01705714579717,3.2522862680104656,1.0,0.8010808979137588,1.0,17198.050570908003,26537.93318857797,54.30779831214819,0.1244541231287828,0.2760153790669206,1634.970920204893,6.760713400495209,0.01905
29,worn_pump,worn_pump,tv_leak,rod_part,28567.70696664345,26794.833001122093,-6.205867231806275,-0.1322313074608719,0.8232645702938874,0.8279656609090515,1.0,7214.347911465941,7376.61211427241,2.2491873804502656,0.042262687692355,0.2699206931434173,825.2820739342603,4.232794888419439,0.0222
30,rod_part,rod_part,tv_leak,rod_part,27911.454221066724,27577.24869638663,-1.197377685996193,0.0925258660682498,1.0,1.0,1.0,16141.108452844035,10394.360942528569,-35.603177607687165,0.0220058370385226,0.2511161556119192,1461.1033709738704,4.589774454214882,0.0222
31,tagging,tagging,tagging,sv_leak,76747.43636588583,79338.51088071274,3.376105623221358,0.1912907978498514,1.0,1.0,1.0,21843.48067317523,20558.97304218996,-5.8805080115400425,0.1436407758776046,0.1153291049878634,1617.7514861680495,7.590509778399419,0.0254
32,normal,normal,sv_leak,normal,34435.539141576286,42828.0315550483,24.371601614737624,2.2421090468463967,0.9747794083877752,1.0,1.0,25600.46798581692,13516.378862970869,-47.20261023955045,0.0569723390199645,0.3263307744548328,853.2269529544099,4.353108847066615,0.0222
33,fluid_pound,fluid_pound,fluid_pound,tv_leak,48670.94223279429,46894.29076157233,-3.650333011274347,-0.2118611433137248,0.5878799342828516,0.5796277213641998,0.5463493495456554,7639.591315609134,6731.784700878328,-11.882921182917002,0.0889168502217077,0.6600230591605916,1161.479224015137,4.474450209117258,0.0254
34,gas_interference,gas_interference,gas_interference,gas_interference,23840.027827282367,6701.551021955217,-71.88950000181624,-1.1036000093673377,0.6230469894827115,0.5849816477420738,0.6355717412858136,18366.45639203075,34000.0,85.12008671826692,0.1020463797633305,0.3076332064716213,1201.1313761585166,5.144487631543175,0.01905
35,tv_leak,tv_leak,tv_leak,tv_leak,23356.97472601592,14876.986156180665,-36.30602280178822,-1.7994878946921409,1.0,1.0,1.0,15563.881815277016,13555.084616278942,-12.906787797799264,0.2457447812255452,0.5855289082834865,918.8379029246344,4.918609299935443,0.01905
36,sv_leak,fluid_pound,gas_interference,sv_leak,50759.6433744004,57207.27518761159,12.702279576028143,1.503244998913945,1.0,0.75,0.7804780242185347,25797.801977940817,16203.267047465151,-37.19128838449012,0.1098381901141915,0.1462246904788221,1647.7751153369345,5.929126864505051,0.0222
37,worn_pump,worn_pump,sv_leak,worn_pump,56417.07797327454,60397.163291248005,7.05475267588101,0.399547644894601,0.9357721598046428,0.920277227316584,1.0,21418.50293079633,19332.660151785672,-9.73850873588162,0.0366547842326582,0.6959601173933153,1295.9710570153024,5.199376865380843,0.0254
38,rod_part,rod_part,sv_leak,rod_part,25128.118686797097,25155.309605419126,0.1082091300225984,0.2495876376254454,1.0,1.0,1.0,18687.03018901401,4668.469440029123,-75.01759566496722,0.0288711471089827,0.2867013023770869,1065.9215223167644,5.822705342816718,0.0254
39,tagging,tagging,tv_leak,tagging,37354.166363042335,41971.80830854813,12.36178556530288,2.091899857077301,1.0,1.0,1.0,11992.16893669463,32971.06061538826,174.93826003818776,0.5918884388665995,0.2304744376038013,879.371474316673,5.890305487275243,0.0254
40,normal,normal,sv_leak,tagging,28046.68699030072,32071.04632062976,14.348786834326514,1.0671332773573412,0.977348098819212,1.0,1.0,19602.045683749144,15254.9956272957,-22.17651222013688,0.1127010349191358,0.2004841299169733,739.8182215958216,6.797022684690109,0.01905
41,fluid_pound,fluid_pound,fluid_pound,fluid_pound,49350.98358637045,61802.2134376346,25.22995277180834,-0.3187034574161447,0.5749220545800384,0.5088185479609151,0.5142347371794689,21535.91365433772,11347.856576393438,-47.30728977403856,0.1154749682703076,0.5417535658189252,907.6013648028768,5.569442407750335,0.0254
42,gas_interference,rod_part,fluid_pound,gas_interference,67523.56286109747,75563.94355186932,11.907518427769723,-0.0267114976580024,0.7246615751696643,1.0,0.5413694711786301,21049.339243152896,14748.560785899212,-29.933378831847428,0.1311530288390373,0.0708011731555873,1657.0368915401618,6.156191008059574,0.0222
43,tv_leak,tv_leak,tv_leak,normal,56054.418673993714,54847.20551650682,-2.1536449508252127,-0.3449459333778565,1.0,1.0,1.0,16519.19441355204,10861.586060416868,-34.24869404342004,0.0528054265112166,1.3035328284528822,1174.3068019549655,7.767004433884009,0.0254
44,sv_leak,worn_pump,sv_leak,tagging,44129.53372145893,58095.599648481526,31.64788917819745,2.5145936693389954,1.0,0.7989824351825239,1.0,25146.077797663373,27849.49485189428,10.750849798460846,0.1500556929889446,0.2953644801869006,1508.3094330271977,7.642110171697108,0.01905
45,worn_pump,worn_pump,sv_leak,rod_part,28218.561676105463,28309.139573820183,0.3209869402784698,0.0994553670104911,0.9061946547760334,0.8685973975366323,1.0,9486.85187988585,15333.788429677712,61.63199999136295,0.0687782185292947,0.3027843058342868,1421.8996948292445,7.660252356525053,0.01905
46,rod_part,worn_pump,gas_interference,rod_part,13339.989395145838,13736.416225378573,2.971717731477257,0.5969038394919447,1.0,0.65,0.5017183729448467,12466.886505856375,4000.0,-67.9150042946089,0.0341056769344118,0.0292542886070196,1415.4596184456454,7.264662791036864,0.01905
47,tagging,tagging,tagging,tagging,48229.05072996068,50796.33660031179,5.323110928982634,0.0146503136484044,1.0,1.0,1.0,9724.580875781538,16205.63097726388,66.64606098986737,0.0933576422452658,0.8532777892693594,1409.6442668423765,5.977247149393191,0.01905
48,normal,sv_leak,sv_leak,normal,35020.078354265934,44955.64407975096,28.37105509866668,2.50382371444586,0.9871027470504596,1.0,1.0,26376.98961729958,26241.86410450893,-0.5122855744767061,0.102221226027337,0.0005716173136948,1044.5829310730842,5.814789298504503,0.01905
49,fluid_pound,gas_interference,gas_interference,fluid_pound,46117.09777321468,52040.12473503158,12.843451231350176,0.7747444922183253,0.4422795160444475,0.5132198188544745,0.5500293737164458,8367.290676583732,7770.86295656238,-7.128086534515702,0.1133560181155257,0.233873453998373,1665.4597731555737,7.963976485684137,0.01905
50,gas_interference,gas_interference,gas_interference,fluid_pound,50073.20320144258,90740.6929420277,81.21607394873735,-0.135662597426754,0.4739594201976339,0.518030375119122,0.4566280708089182,26645.530443972173,14548.3818765112,-45.400291778382,0.1764450311266008,0.0077499852553685,1228.8287517455674,8.982289143434787,0.0222
51,tv_leak,normal,tv_leak,tv_leak,30482.68542340189,6081.886388311546,-80.04806235462964,-8.041133533757872,1.0,1.0,1.0,11287.732897054491,15768.474178784854,39.6956707125804,0.251489388982951,0.0490481601715038,1303.3681956107407,7.034390004383161,0.01905
52,sv_leak,sv_leak,fluid_pound,sv_leak,33112.51471397694,38886.22373021662,17.43663707245578,0.9850819174079498,1.0,1.0,0.7405849526497505,22804.783799329954,17964.977711164396,-21.22276681398646,0.0723698418718219,0.137060238522923,1114.0027336685148,4.264923333777494,0.01905
53,worn_pump,worn_pump,worn_pump,normal,42495.452714516585,39711.69470276918,-6.550719745118672,-0.1270694042600826,0.7687579425854019,0.7783827620931669,0.718534262879007,22687.686559952766,26318.9064464577,16.0052452986308,0.0882065254395983,0.8675762278805303,1476.0371477537308,8.524319350736466,0.01905
54,rod_part,rod_part,tv_leak,rod_part,8219.768073249394,8361.443633294572,1.7235955903214617,0.1281850063384545,1.0,1.0,1.0,18938.32910641253,30261.00681499976,59.78709972229476,0.0336458995216692,0.3286273592106589,728.5583568025689,4.604762094225882,0.0222
55,tagging,tagging,tagging,tagging,59254.48314484875,57567.96696533658,-2.846225449962078,-0.2683550056023489,1.0,1.0,1.0,27492.38965450974,24453.269238364377,-11.054406162349874,0.101462067686161,1.4852195841876186,978.996218124046,7.733031813002481,0.0254
56,normal,worn_pump,sv_leak,sv_leak,41850.69858101239,50191.09307557005,19.92892538797832,1.2952871310159133,0.9743005133739876,0.8307472437259658,1.0,27249.02848810687,14116.128086912266,-48.19584818198784,0.0770146383664757,0.0609302807945936,1505.151366000082,4.894073238057286,0.01905
57,fluid_pound,fluid_pound,fluid_pound,fluid_pound,37627.41603839341,41809.4326283637,11.11428057059016,-0.2433847621514401,0.602094352672383,0.6487743890519762,0.4660748912606633,22656.33852447749,16272.234873868803,-28.178002565204512,0.1063965000031044,0.6989794827867538,1172.422786906448,5.594245625845482,0.0222
58,gas_interference,gas_interference,sv_leak,tv_leak,45199.34116364147,45264.96336719922,0.1451839824836625,0.0582587668462663,0.4742871075248576,0.5147130036364751,1.0,7398.085266690055,8193.610085195347,10.753117730166617,0.1071149915028145,1.1324384852845013,1524.8787841628086,5.021343578691976,0.01905
59,tv_leak,tv_leak,tv_leak,tv_leak,25768.003591424764,21837.146654513926,-15.254798156807817,-0.6063154904364396,1.0,1.0,1.0,8727.337920469407,9079.321315840452,4.03311294438928,0.12001146012880519,0.5190769964112393,1096.2206878131747,6.185386530387683,0.01905
60,sv_leak,gas_interference,sv_leak,sv_leak,61384.2847642805,78642.56059274511,28.11513711487797,1.9143213053857109,1.0,0.85,1.0,24668.48106331869,10626.485374132626,-56.92282250027181,0.1320826526343838,0.03767822684953582,1624.7368671242111,7.657306652697321,0.0222
61,worn_pump,worn_pump,worn_pump,worn_pump,65083.98720897711,59539.89025601931,-8.518373244645185,0.11710360432362092,0.710579669216898,0.7388286420514362,0.6714673822529483,17959.941362309604,24457.821160606924,36.17984974012024,0.06532552473711979,0.5188246985579268,1663.166112694573,8.118261307552698,0.0254
62,rod_part,rod_part,normal,rod_part,26788.899892919537,26475.915754859583,-1.1683351660986916,0.0964429673566698,1.0,1.0,1.0,13184.896642490543,32498.743573524323,146.48462900188136,0.028800569013284833,0.31000719150110273,1601.18013730138,6.261418430722208,0.01905
63,tagging,tagging,tagging,tagging,59076.356771209954,58273.477310759576,-1.3590537811255998,0.15910920814710483,1.0,1.0,1.0,12670.436522673379,6223.227317972075,-50.883875967210834,0.1281181142863639,1.097755136157108,1264.0699164471966,8.17847235554473,0.0254
